event,date,status,department,institution,categories
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Campus Planning,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Staff,UCLA Library Data Science Center,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Merced,NA
GIS Week,2020-11-17T00:00:00Z,Librarian,Library,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,SIO,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Campus Planning,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Staff,UCSDH Strategy,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Statistics,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Scripps Institution of Oceanography,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,State Agency GIS professional,California Coastal Commission,State of CA,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Social Science,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Ecology & Evolutionary Biology,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,VC Resource Management & Planning,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,ENVS,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Library,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Analytics,Capella Online,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Political Science,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Environmental Studies,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Staff,SIO,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Environmental Studies,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,CS,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Computer Science,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Postdoc,Geography,Columbia,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Natural Resources,LGC,NA
GIS Week,2020-11-17T00:00:00Z,Staff,UCI Libraries,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Staff,IT Services,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Environmental Studies,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Medicine,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Librarian,Library & Information Centre,"Harokopio University/Athens, Greece",NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Earth Sciences,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Nursing,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Science,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Institute of Transportation Studies,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Research IT,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Facilities Services,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Epidemiology,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,History,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Public Health,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geology,UC Berkeley,NA
GIS Week,2020-11-17T00:00:00Z,Staff,IoES,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Engineering,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,ENVS,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Received BS degree,State,State of CA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Office of Information Technology (OIT),UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Staff,Epidemiology and Biostatistics,UC San Francisco,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Geography,CSUN,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Economics,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Fire Department,Forestry,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,High School Student,Sonoma Valley High School,UC San Francisco,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Public Health,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Public Health,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Public Health,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Public Health,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Public Health,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Environmental Studies,UC Santa Cruz,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Economics,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Earth and Physical Science,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Staff,"Library, Map Collection",UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Geography,UC Santa Barbara,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography/Environmental Studies,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,History,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Graduate Student,Economics,UC Irvine,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Geography,UCLA,NA
GIS Week,2020-11-17T00:00:00Z,Undergraduate Student,Scripps Institute of Oceanography,UC San Diego,NA
GIS Week,2020-11-17T00:00:00Z,Alumni,Geography,UC Davis,NA
GIS Week,2020-11-17T00:00:00Z,Staff,University Library,UC Riverside,NA
GIS Week,2020-11-17T00:00:00Z,Faculty,Linguistics,UCLA,NA
